ID;Weekofday;max_capacity;number_of_ticket;max_capacity
1159;1;49;11.56;49
3171;3;49;3.57;49
914;1;49;18.91;49
3494;0;49;6.02;49
148;6;49;1.09;49
3173;0;49;3.82;49
40;1;11;1.1;11
5045;4;11;1.04;11
3047;5;49;9.21;49
6176;2;11;4.42;11
5318;1;49;5.35;49
2100;6;49;32.205;49
4799;0;11;6.08;11
5461;6;49;12.84;49
1955;3;49;6.59;49
4027;5;49;4.49;49
2139;0;11;10.23;11
3824;1;49;1.61;49
4608;5;11;9.84;11
3186;6;49;36.04;49
3341;4;11;1.07;11
1600;6;49;13.04;49
4900;2;11;6.81;11
434;2;11;2.25;11
1477;3;11;9.74;11
2379;5;11;6.34;11
2517;3;11;10.81;11
1629;0;11;8.845;11
6242;5;49;19.76;49
963;1;49;2.54;49
2454;5;49;4.73;49
443;2;11;2.47;11
5460;6;49;17.96;49
4061;3;49;18.34;49
1256;3;49;8.33;49
2222;4;49;3.04;49
1380;6;49;10.3;49
3441;6;11;5.78;11
1898;6;11;10.55;11
4749;0;11;10.69;11
1958;0;49;10.43;49
3209;5;11;9.28;11
4088;2;49;4.97;49
4453;3;11;10.98;11
4975;6;11;2.31;11
5969;2;11;9.82;11
2564;1;49;2.41;49
5882;2;11;10.13;11
3865;3;49;2.49;49
5945;3;49;1.12;49
1250;4;11;7.57;11
1469;3;11;8.09;11
6118;1;49;2.81;49
3886;3;11;1.88;11
5912;1;49;1.795;49
6067;0;49;2.86;49
5134;6;49;10.37;49
3104;5;11;4.58;11
6163;2;49;14.09;49
2121;0;49;1.16;49
1424;6;49;9.99;49
664;4;11;9.66;11
650;4;11;8.79;11
1388;6;11;9.46;11
3343;3;11;10.45;11
3248;1;11;1.5;11
3254;1;49;5.25;49
5915;1;49;11.01;49
4333;1;11;10.86;11
6139;2;49;14.325;49
696;5;49;1.15;49
3972;5;11;9.39;11
4792;5;49;17.83;49
2828;4;11;9.97;11
3268;1;49;2.51;49
1136;3;49;3.24;49
2252;5;49;2.48;49
5801;3;49;11.92;49
1019;2;11;9.06;11
4272;5;49;10.74;49
4930;6;11;5.93;11
4345;5;49;11.3;49
3370;0;49;7.8;49
162;1;49;1.9;49
3531;1;49;16.485;49
6081;0;49;5.555;49
814;3;11;9.01;11
1978;0;11;9.94;11
2264;5;49;2.39;49
4227;2;49;25.895;49
1061;2;11;2.03;11
5201;3;49;21.65;49
3283;4;49;7.42;49
3296;1;11;7.49;11
199;1;11;1.06;11
1875;2;49;7.7;49
1669;0;11;9.445;11
3682;5;49;12.89;49
5618;2;49;8.605;49
2665;3;11;6.82;11
3035;5;49;12.105;49
4643;4;49;22.51;49
3934;6;11;8.44;11
1702;6;11;7.9;11
845;3;11;9.14;11
3500;5;11;8.34;11
188;5;11;2.23;11
5438;5;49;11.87;49
5677;0;49;2.08;49
3856;1;49;1.86;49
3966;4;11;1.26;11
3821;1;49;8.29;49
5552;3;11;7.51;11
414;2;49;4.36;49
2754;1;11;9.01;11
4815;4;11;9.91;11
342;3;11;4.31;11
3836;0;11;10.79;11
4532;1;11;8.86;11
36;1;11;1.12;11
3840;1;49;1.33;49
3722;3;11;7.8;11
5908;1;49;3.57;49
5702;2;49;17.08;49
2397;5;11;7.95;11
3872;3;49;11.74;49
1089;4;11;9.25;11
1144;2;49;6.9;49
3098;0;49;4.21;49
3351;6;49;10.915;49
938;5;11;1.05;11
603;0;11;10.48;11
2104;6;49;1.99;49
6210;3;11;1.28;11
3926;4;49;23.905;49
2680;6;49;2.43;49
1218;5;11;1.53;11
5316;1;49;4.46;49
2622;6;11;7.16;11
5479;1;11;1.57;11
6168;2;11;4.26;11
3375;6;11;1.42;11
4393;1;49;3.26;49
3552;1;49;6.42;49
4186;4;49;3.4;49
1045;2;49;17.36;49
5459;6;11;1.37;11
3036;5;49;2.31;49
5601;6;11;1.11;11
5793;3;49;41.02;49
1619;1;49;17.11;49
4161;3;49;14.435;49
3239;1;49;36.7;49
6102;1;49;17.3;49
4967;6;49;15.21;49
1506;3;11;1.03;11
273;4;49;3.72;49
5827;3;49;9.03;49
2430;3;11;10.47;11
3466;2;11;2.44;11
6047;5;49;3.655;49
2770;1;11;8.46;11
4129;3;49;3.51;49
2494;0;49;6.04;49
4419;3;11;9.81;11
2764;1;49;9.61;49
4277;5;49;22.935;49
3188;6;49;11.7;49
3983;5;49;3.73;49
1452;3;11;9.55;11
4423;3;11;10.64;11
2199;4;11;1.27;11
5803;3;49;15.06;49
2925;3;11;7.71;11
2020;5;11;6.91;11
3102;0;49;1.56;49
5966;3;49;5.69;49
1545;5;49;3.94;49
3547;5;11;6.24;11
6175;2;49;4.45;49
1416;6;11;7.76;11
1287;6;49;26.33;49
4411;3;11;8.32;11
4168;2;11;10.19;11
1730;2;11;1.14;11
4160;2;49;19.22;49
2952;2;11;3.14;11
2593;1;49;19.36;49
6212;3;49;3.365;49
1002;2;49;8.99;49
4456;3;11;10.78;11
5964;3;49;11.555;49
1561;1;11;9.94;11
3589;4;49;6.49;49
5048;3;11;9.04;11
3014;2;11;1.1;11
1791;4;49;8.97;49
1970;3;11;3.41;11
5419;5;49;12.73;49
4861;0;49;2.39;49
3688;5;11;1.06;11
2724;1;11;6.09;11
5660;4;11;1.31;11
856;1;11;3.77;11
4308;1;11;10.185;11
4174;4;49;7.64;49
1554;1;49;4.37;49
1160;1;49;11.56;49
5372;2;49;19.26;49
271;5;11;1.12;11
976;1;49;1.76;49
1278;3;11;9.26;11
2160;0;11;8.02;11
1562;1;11;10.09;11
3185;6;49;18.745;49
4052;6;49;1.44;49
2976;2;49;5.61;49
2539;1;11;9.06;11
6194;3;49;3.205;49
5889;1;49;6.8;49
5859;6;49;3.94;49
2359;6;11;6.54;11
1299;0;49;1.37;49
4195;2;11;10.44;11
5582;6;11;1.8;11
5899;1;49;10.675;49
431;0;11;8.37;11
2237;4;49;9.655;49
4802;0;49;18.03;49
2658;5;49;1.72;49
2024;5;11;10.89;11
5156;0;11;1.19;11
4155;2;11;9.23;11
3134;3;49;37.28;49
4540;1;49;5.93;49
4565;6;49;5.54;49
5986;4;49;11.48;49
4894;0;49;15.55;49
3870;3;49;1.86;49
2231;4;11;10.55;11
6099;1;49;8.89;49
1947;3;11;9.25;11
1695;6;11;9.81;11
1172;5;11;7.83;11
5487;1;49;3.415;49
916;1;49;9.86;49
1826;1;49;1.52;49
1574;1;11;8.71;11
508;0;49;21.91;49
4582;1;49;2.25;49
3477;1;11;1.59;11
4803;0;49;15.13;49
3798;0;11;11.0;11
4223;2;49;9.01;49
725;1;11;9.96;11
2243;4;11;10.55;11
2693;2;11;10.3;11
1179;5;11;8.21;11
6179;3;49;41.47;49
2304;1;11;10.815;11
2973;2;49;5.07;49
3789;0;11;10.33;11
613;0;11;6.66;11
2135;0;49;3.54;49
731;1;11;6.38;11
3344;3;11;10.45;11
5483;1;49;3.01;49
1523;2;11;6.75;11
1011;2;11;10.64;11
2866;4;49;1.45;49
4854;0;49;8.115;49
2962;0;49;3.52;49
2859;4;49;15.215;49
1507;3;11;1.03;11
4332;1;11;10.37;11
777;1;11;7.6;11
3511;1;49;17.425;49
5124;6;49;21.85;49
1563;1;49;4.37;49
723;1;11;10.1;11
4940;6;11;7.0;11
3670;5;49;13.76;49
4829;4;11;10.6;11
1973;3;49;28.415;49
5584;6;49;4.185;49
2180;0;11;6.54;11
86;6;11;5.71;11
2050;4;11;1.16;11
4853;0;49;1.7;49
2994;6;49;9.06;49
3786;0;49;15.8;49
3259;1;11;2.96;11
3588;4;11;9.87;11
2628;3;49;3.81;49
4199;2;11;9.71;11
2855;4;49;1.73;49
1974;0;49;19.08;49
4880;0;49;1.43;49
5489;1;49;3.0;49
4442;1;49;3.07;49
3043;5;49;3.07;49
1603;6;49;1.28;49
2950;2;11;7.22;11
2782;0;11;7.15;11
5325;1;49;38.79;49
3146;3;11;1.76;11
817;3;11;9.01;11
5226;4;49;3.0;49
5566;6;49;19.76;49
4764;2;11;2.44;11
1068;2;11;1.48;11
1180;5;11;9.23;11
5012;2;49;2.5;49
5835;6;49;7.66;49
5307;0;11;1.06;11
5462;6;49;8.86;49
3034;5;49;5.23;49
3488;6;11;1.1;11
2934;3;11;2.22;11
1692;6;11;10.57;11
1007;2;11;7.38;11
3111;3;11;7.94;11
2021;5;11;10.46;11
3191;6;49;15.45;49
4706;0;49;25.775;49
6093;2;11;7.53;11
3711;6;49;27.4;49
5305;0;49;11.03;49
3971;5;11;9.25;11
808;3;49;26.61;49
2333;1;11;2.07;11
5694;0;49;3.94;49
683;5;49;17.92;49
4791;5;49;4.58;49
2842;4;11;9.52;11
740;5;49;17.6;49
2730;1;49;16.84;49
3354;6;49;6.86;49
2527;3;11;10.35;11
5590;6;49;12.235;49
4091;2;49;2.63;49
4413;3;11;8.43;11
1653;4;49;1.29;49
6183;2;11;2.32;11
714;1;11;9.43;11
2591;3;49;3.35;49
2546;1;11;10.29;11
2032;5;49;10.98;49
5517;2;11;1.98;11
3196;5;11;8.68;11
3464;2;11;1.22;11
835;3;11;8.65;11
4226;2;49;11.52;49
5142;5;11;6.88;11
1288;6;11;1.66;11
8;5;49;1.41;49
491;5;11;9.95;11
1662;0;11;10.705;11
3322;3;11;4.17;11
1996;0;11;8.97;11
4489;3;11;7.98;11
2429;3;49;1.15;49
4426;3;11;11.49;11
4221;1;49;16.3;49
870;1;49;12.1;49
915;1;49;18.91;49
4384;1;49;24.31;49
4038;6;49;22.985;49
253;0;49;1.1;49
6054;0;49;42.3;49
1511;2;11;5.54;11
3842;0;11;10.77;11
1294;3;11;7.1;11
658;4;11;10.21;11
4692;2;11;10.86;11
1803;4;11;6.65;11
331;3;11;10.49;11
2691;2;11;8.5;11
5851;6;49;21.605;49
5114;5;49;16.3;49
3979;5;49;6.85;49
3809;0;11;10.97;11
6080;0;49;5.21;49
3061;5;11;1.31;11
3727;1;49;15.62;49
2799;4;49;5.71;49
5283;0;49;7.67;49
3889;6;11;10.88;11
5254;4;49;4.06;49
4412;3;11;8.32;11
5712;2;11;2.3;11
2467;6;49;12.815;49
4738;0;11;1.77;11
3226;2;11;8.455;11
3106;0;49;1.29;49
1402;1;49;2.33;49
1005;1;49;1.31;49
6206;3;49;3.465;49
3685;5;49;26.13;49
354;2;11;6.825;11
1655;0;11;10.215;11
5388;3;49;7.0;49
2093;2;11;10.67;11
3658;3;49;2.67;49
1607;6;49;1.54;49
5764;1;49;11.035;49
3250;1;11;1.53;11
5239;4;11;1.09;11
3996;5;11;5.055;11
3501;5;11;9.32;11
1969;3;11;9.34;11
5282;0;49;36.91;49
2098;6;49;4.64;49
1567;1;11;9.52;11
2662;3;11;9.98;11
5060;0;11;5.9;11
5581;6;49;7.05;49
857;1;49;12.08;49
3485;0;49;2.86;49
3311;6;11;4.055;11
6133;2;11;6.84;11
4981;6;11;3.39;11
3112;3;11;7.96;11
2169;0;11;10.89;11
469;5;49;17.21;49
1110;3;11;9.08;11
2058;4;49;2.78;49
2945;2;11;9.67;11
5623;2;49;23.75;49
98;4;49;5.61;49
4534;1;11;8.95;11
1573;1;11;10.31;11
1736;3;49;8.05;49
5602;6;49;18.96;49
4264;1;49;7.48;49
3299;1;11;3.625;11
2036;5;11;8.92;11
1493;3;11;9.56;11
1200;5;49;19.86;49
6238;5;49;2.815;49
2339;6;49;4.65;49
996;5;49;14.84;49
409;2;49;12.68;49
382;6;49;3.43;49
2966;0;11;9.54;11
3891;3;49;21.055;49
2215;4;11;10.21;11
6145;2;49;8.665;49
5544;3;11;1.54;11
965;1;49;6.19;49
58;4;49;1.51;49
4334;1;11;10.89;11
957;5;11;9.7;11
453;4;49;10.67;49
2610;0;11;1.09;11
1539;4;11;1.42;11
95;6;11;1.46;11
4668;4;49;1.02;49
149;6;49;1.1;49
2715;6;11;1.25;11
728;1;11;9.85;11
2821;4;11;9.9;11
1729;2;49;24.94;49
5070;0;11;3.27;11
1817;4;11;8.09;11
4507;3;11;8.7;11
3771;0;49;8.42;49
1;6;49;16.94;49
3697;5;49;7.5;49
6116;1;49;1.66;49
4141;2;11;10.99;11
57;4;11;7.28;11
30;2;11;1.05;11
2499;0;49;20.38;49
5555;3;49;7.14;49
5591;6;49;5.505;49
5344;1;49;11.34;49
5333;1;11;1.03;11
685;4;11;8.36;11
1972;3;11;1.23;11
5905;1;49;9.84;49
2555;1;11;10.88;11
1581;1;11;6.19;11
2173;0;11;6.42;11
2054;4;49;31.195;49
3950;6;11;10.435;11
4848;5;11;1.03;11
2329;1;49;24.735;49
2812;5;11;1.7;11
1329;1;11;5.95;11
6164;2;49;9.55;49
4026;3;49;18.36;49
1062;2;11;2.03;11
1127;3;11;1.75;11
1773;4;11;7.595;11
3338;4;11;1.07;11
3784;0;11;5.26;11
6111;1;49;3.835;49
3524;1;11;1.54;11
3808;0;49;1.83;49
438;0;11;8.48;11
3306;6;11;3.915;11
757;1;49;6.87;49
582;0;11;2.06;11
999;5;11;5.2;11
3072;5;11;9.67;11
5270;5;11;7.5;11
5619;2;49;7.425;49
2940;2;11;9.73;11
2978;2;49;1.96;49
2684;6;49;16.77;49
4258;2;49;7.03;49
3504;5;11;10.9;11
2376;6;11;2.82;11
2238;4;49;30.83;49
1378;0;11;1.94;11
6132;2;11;6.84;11
4312;1;11;9.625;11
4906;0;49;6.01;49
1446;3;49;7.61;49
1796;6;49;10.07;49
2818;4;11;9.9;11
4602;5;11;10.17;11
627;2;11;1.95;11
1977;0;11;9.94;11
3412;0;11;8.54;11
1812;4;11;5.5;11
4190;2;11;10.83;11
2069;2;11;9.31;11
3429;0;49;13.795;49
6042;5;49;9.08;49
2790;4;49;27.65;49
2567;1;49;5.7;49
4816;4;11;9.91;11
4801;5;49;4.72;49
920;1;11;7.65;11
5940;3;49;9.185;49
6213;3;49;11.72;49
2294;1;11;6.92;11
229;4;11;1.18;11
1771;3;49;4.92;49
3456;4;11;4.41;11
3234;6;11;1.28;11
4703;0;49;22.18;49
635;0;11;8.15;11
2791;4;49;10.385;49
4317;1;11;10.91;11
6105;1;49;7.705;49
5755;4;11;10.55;11
1027;1;11;1.31;11
2826;4;11;4.64;11
3137;3;49;16.3;49
1873;6;11;10.13;11
893;6;49;2.83;49
1753;0;49;1.74;49
1558;1;11;10.11;11
439;0;11;9.465;11
5852;6;49;4.35;49
2308;1;11;10.815;11
5832;3;49;4.84;49
1953;0;49;7.25;49
5640;4;49;24.46;49
4589;5;11;9.54;11
351;6;49;2.76;49
1223;5;49;2.48;49
2154;2;49;3.255;49
2759;1;11;10.15;11
5924;2;49;4.09;49
4887;2;11;6.17;11
1892;6;11;9.25;11
5990;4;49;6.28;49
1015;2;11;9.56;11
6014;5;49;38.7;49
911;1;49;9.86;49
3754;6;49;11.39;49
3416;6;49;6.62;49
4538;1;11;8.61;11
1003;2;11;5.63;11
1372;0;11;9.64;11
690;5;11;1.69;11
1821;1;49;1.54;49
5893;1;49;2.38;49
5295;0;49;1.14;49
861;1;11;9.67;11
5248;4;11;1.6;11
1645;4;49;43.56;49
5076;0;11;3.32;11
1073;4;11;9.01;11
4417;1;49;1.97;49
212;0;11;1.24;11
1885;2;49;1.7;49
3873;3;49;2.47;49
2581;3;49;17.45;49
